SBSCR_NBR,SOURCE_PATIENT_ID,EMPI,MBR_LST_NM,MBR_MIDL_INIT,MBR_FST_NM,MBR_GDR_CD,BTH_DT,CONTR_CURR_PLN_NM,CONTR_NBR,CONTR_PBP,CONTR_NBR_PBP,CURR_MBI,DTH_DT,RECORD_START_DT,RECORD_END_DT,MBR_ADR_LOC_ADR1,MBR_ADR_LOC_ADR2,MBR_ADR_LOC_CTY,MBR_ADR_LOC_ST_CD,MBR_ADR_LOC_ZIP_CD,SBSCR_CNTY_NM,MBR_DO_NOT_CNTC_FLG,ASSIGNED_PROVIDER_NPI,ASSIGNED_TIN
321301254,48789-0T09UN1DS03T,1024065007,PANTALEON,D,JEFFREY,male,1942-08-07,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7X06PR0VJ46,,01/01/2025,04/30/2025,8215 FULTON TER,,ALEXANDERBURY,NY,10002,,N,7012408416,568386547
321301254,48789-0T09UN1DS03T,1024065007,PANTALEON,W,BRIDGET,male,1942-12-01,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,7X06PR0VJ46,,12/01/2023,12/31/2023,3972 FOREST CT,,FLORESBOROUGH,NY,10047,,N,7012408416,568386547
398215709,25119-0P50GU6ZE75T,1024064292,MENDEZ,,LISA,male,1946-07-13,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,6T88DY5CX45,,01/01/2023,12/31/2023,300 HILL AVE,,EAST JAMESSIDE,NY,10421,,N,2864044646,667656748
398215709,25119-0P50GU6ZE75T,1024064292,MENDEZ,,ADAM,male,1946-03-27,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,6T88DY5CX45,,01/01/2024,12/31/2024,9295 LEXINGTON CT,,APRILVIEW,NY,10470,,N,2864044646,667656748
398215709,25119-0P50GU6ZE75T,1024064292,MENDEZ,,LINDA,male,1946-10-07,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,6T88DY5CX45,,01/01/2025,12/31/2025,5866 MAIN ST,,NORTH ASHLEY,NY,10415,,N,2864044646,667656748
398215709,25119-0P50GU6ZE75T,1024064292,MENDEZ,,HELEN,male,1946-11-21,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,6T88DY5CX45,,01/01/2026,12/31/2099,3567 CHURCH AVE,,NEW JOSEPHVIEW,NY,10497,,N,2864044646,667656748
248463244,69047-7B36OQ2MR16T,1026937813,CAYENNE,,MATTHEW,male,1946-11-03,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4F40EU8EY42,,01/01/2026,12/31/2099,4896 BROADWAY ST,,JOSEPHBURGH,NY,11630,,N,3529082291,798226054
619465830,72045-8UB4X05SB18T,,RODRIQUEZ,,ERIC,male,1948-06-03,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,9YF3G91PC93,,08/01/2025,09/30/2025,4217 WASHINGTON PL,,WEST MERCEDESBURGH,NY,10462,,N,1431792953,767474526
870651349,11269-3UT6MS7NX81T,1022250992,HENDERSON,,SUSAN,female,1975-09-26,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,8YE5HW5UG77,,01/01/2023,12/31/2023,8862 MAIN AVE,APT 15D,MATTHEWFORT,NY,11622,,N,7209158507,704906135
870651349,11269-3UT6MS7NX81T,1022250992,HENDERSON,,MATTHEW,female,1975-02-15,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8YE5HW5UG77,,01/01/2024,12/31/2024,5793 PELHAM DR,APT 11B,LOPEZBOROUGH,NY,11677,,N,7209158507,704906135
870651349,11269-3UT6MS7NX81T,1022250992,HENDERSON,,CHRISTOPHER,female,1975-09-17,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8YE5HW5UG77,,01/01/2025,12/31/2025,1149 PARK ST,STE 20G,PORT JOHNBURGH,NY,11632,,N,7209158507,704906135
870651349,11269-3UT6MS7NX81T,1022250992,HENDERSON,,COLIN,female,1975-03-10,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8YE5HW5UG77,,01/01/2026,12/31/2099,171 FULTON LN,UNIT 8G,NORTH DAWNTON,NY,11649,,N,7209158507,704906135
204501421,48181-7YQ6CL6MT97T,1024064841,ROMERO,C,MELANIE,female,1937-03-13,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,4CQ0RP3EW18,,01/01/2023,12/31/2023,8731 WASHINGTON LN,,LAKE BRITTANY,NY,10485,,N,1271488583,750926864
204501421,48181-7YQ6CL6MT97T,1024064841,ROMERO,P,CASSANDRA,female,1937-06-27,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4CQ0RP3EW18,,01/01/2024,12/31/2024,3117 RIVER PL,,SOUTH JOSHUAHAVEN,NY,10485,,N,1271488583,750926864
204501421,48181-7YQ6CL6MT97T,1024064841,ROMERO,B,LINDSAY,female,1937-06-19,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4CQ0RP3EW18,,01/01/2025,12/31/2025,5257 BROADWAY PL,,KATIEMOUTH,NY,10471,,N,1271488583,750926864
204501421,48181-7YQ6CL6MT97T,1024064841,ROMERO,A,JESSICA,female,1937-05-14,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4CQ0RP3EW18,,01/01/2026,12/31/2099,4806 FLATBUSH BLVD,,NEW BRANDON,NY,10409,,N,1271488583,750926864
789548955,22254-8R32EF6XU59T,1024064884,GONZALEZ,C,AMANDA,female,1963-10-18,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5V86XJ9TP40,,01/01/2024,12/31/2024,5414 SUNSET WAY,,NORTH DONNA,NY,11215,,N,9753960353,183493796
789548955,22254-8R32EF6XU59T,1024064884,GONZALEZ,G,TERESA,female,1963-10-27,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5V86XJ9TP40,,01/01/2025,12/31/2025,1127 HIGHLAND AVE,,NATALIEVILLE,NY,11287,,N,9753960353,183493796
789548955,22254-8R32EF6XU59T,1024064884,GONZALEZ,H,NICHOLAS,female,1963-01-14,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5V86XJ9TP40,,01/01/2026,12/31/2099,7234 CHURCH RD,,NICOLECHESTER,NY,11254,,N,9753960353,183493796
789548955,22254-8R32EF6XU59T,1024064884,GONZALEZ,T,ANDREA,female,1963-03-08,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,5V86XJ9TP40,,02/01/2023,12/31/2023,3581 BOSTON CT,,YOUNGBOROUGH,NY,11240,,N,9753960353,183493796
267157359,11535-6A17M45CF01T,1022251297,BLACKMAN-HIOLDER,A,MARIA,female,1946-03-15,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,3E09H22XV25,,01/01/2023,12/31/2023,6390 MAIN AVE,,BENNETTTON,NY,11625,,N,1848890701,798226054
267157359,11535-6A17M45CF01T,1022251297,BLACKMAN-HIOLDER,W,CHRISTINE,female,1946-12-05,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,3E09H22XV25,,01/01/2024,01/31/2024,8548 MADISON DR,,FREYMOUTH,NY,11640,,N,1848890701,798226054
682098788,12525-0Q63P90ON75T,1019952325,MELENDEZ,G,MICHELLE,female,1947-04-21,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,8U59U27KN34,,01/01/2023,12/31/2023,3063 FULTON LN,UNIT 5B,HOPKINSSIDE,NY,11239,,Y,1442703865,180713949
682098788,12525-0Q63P90ON75T,1019952325,MELENDEZ,W,BARBARA,female,1947-08-04,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8U59U27KN34,,01/01/2024,12/31/2024,7829 AMSTERDAM TER,STE 9A,CHANDLERMOUTH,NY,11297,,Y,1442703865,180713949
682098788,12525-0Q63P90ON75T,1019952325,MELENDEZ,P,JANET,female,1947-08-20,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8U59U27KN34,,01/01/2025,07/31/2025,8381 ELM WAY,APT 14E,YOUNGPORT,NY,11291,,Y,1442703865,180713949
319748390,94135-9FW3M87MV28T,1024064125,SOSA,,BRANDON,female,1970-09-19,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,4JY6H12EM57,,01/01/2023,12/31/2023,9772 PARK DR,,JOHNSONFORT,NY,11271,,N,9753960353,183493796
319748390,94135-9FW3M87MV28T,1024064125,SOSA,,JEREMY,female,1970-01-05,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4JY6H12EM57,,01/01/2024,12/31/2024,5999 CEDAR RD,,WEST ANDREBERG,NY,11212,,N,9753960353,183493796
319748390,94135-9FW3M87MV28T,1024064125,SOSA,,KEITH,female,1970-03-08,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4JY6H12EM57,,01/01/2025,12/31/2025,6669 FULTON TER,,NORTH CARMENMOUTH,NY,11213,,N,9753960353,183493796
319748390,94135-9FW3M87MV28T,1024064125,SOSA,,CHRISTOPHER,female,1970-08-22,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4JY6H12EM57,,01/01/2026,12/31/2099,3116 FULTON WAY,,LAKE KIMBERLYHAVEN,NY,11278,,N,9753960353,183493796
292777149,42390-8U64Z25NT11T,1019951634,DAVID,,JESSE,male,1941-10-02,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,1Y04T20UW76,,02/01/2023,03/31/2023,848 HIGHLAND BLVD,,SOUTH JENNIFER,NY,11472,,N,2737493809,185175869
139131301,86483-2P33ZZ9ZR25T,1024064777,DE JESUS,H,CRAIG,male,1941-01-23,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,1T71TD3CY05,,01/01/2023,12/31/2023,5375 RIDGE TER,,WEST KAYLEE,NY,11219,,N,9753960353,183493796
139131301,86483-2P33ZZ9ZR25T,1024064777,DE JESUS,R,JOSHUA,male,1941-07-11,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1T71TD3CY05,,01/01/2024,12/31/2024,350 HIGHLAND ST,,CARRILLOBERG,NY,11270,,N,9753960353,183493796
139131301,86483-2P33ZZ9ZR25T,1024064777,DE JESUS,J,CYNTHIA,male,1941-05-28,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1T71TD3CY05,,01/01/2025,12/31/2025,1130 VALLEY DR,,SAMANTHASTAD,NY,11270,,N,9753960353,183493796
139131301,86483-2P33ZZ9ZR25T,1024064777,DE JESUS,A,MICHAEL,male,1941-12-18,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1T71TD3CY05,,01/01/2026,12/31/2099,9394 FLATBUSH LN,,DEBORAHBERG,NY,11219,,N,9753960353,183493796
812256525,76785-1G43WU4TG32T,1024063248,DIAZ,F,MITCHELL,male,1947-11-21,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,9K36FY2MD54,,01/01/2023,12/31/2023,9177 RIDGE PL,STE 7E,HENSONVIEW,NY,11271,,N,9753960353,183493796
812256525,76785-1G43WU4TG32T,1024063248,DIAZ,P,JASON,male,1947-08-02,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,9K36FY2MD54,,01/01/2024,12/31/2024,1306 LEXINGTON PL,STE 13C,BRADLEYBURY,NY,11219,,N,9753960353,183493796
812256525,76785-1G43WU4TG32T,1024063248,DIAZ,L,JOSEPH,male,1947-11-18,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,9K36FY2MD54,,01/01/2025,12/31/2025,4768 LINCOLN BLVD,APT 7A,VICTORIABOROUGH,NY,11216,,N,9753960353,183493796
812256525,76785-1G43WU4TG32T,1024063248,DIAZ,J,SHARON,male,1947-05-26,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,9K36FY2MD54,,01/01/2026,12/31/2099,4579 JEROME RD,APT 12E,PORT DAVID,NY,11213,,N,9753960353,183493796
222788206,70559-3S96GU7KV88T,1025958555,MANUEL,,DEBORAH,female,1960-08-15,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7W73DY6HM75,,01/01/2026,12/31/2099,5932 LAKE RD,APT 20B,NEW JAMES,NY,11220,,N,6583947195,824292717
222788206,70559-3S96GU7KV88T,1025958555,MANUEL,,CHELSEA,female,1960-10-11,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7W73DY6HM75,,02/01/2025,05/31/2025,3836 RIVER BLVD,UNIT 6A,PORT CHARLES,NY,11264,,N,6583947195,824292717
222788206,70559-3S96GU7KV88T,1025958555,MANUEL,,GEORGE,female,1960-12-09,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7W73DY6HM75,,06/01/2025,12/31/2025,5161 RIDGE LN,UNIT 11E,NORTH JACOB,NY,11217,,N,6583947195,824292717
991719515,51329-9J95RW6LT50T,1024065597,MORRISON,E,JESSICA,male,1942-02-21,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,9N35YA9NW89,,01/01/2023,02/28/2023,1237 PINE BLVD,,CLARKBERG,NY,11350,,N,7497763814,153761673
215374403,47659-8D00UP7DF06T,1024065180,CLARK,G,FRANK,female,1962-08-14,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7H48PT1VV49,,01/01/2024,02/29/2024,9126 FOREST TER,UNIT 4A,WEST KEVINPORT,NY,10424,,N,7487282799,596010415
215374403,47659-8D00UP7DF06T,1024065180,CLARK,L,NOAH,female,1962-08-11,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,7H48PT1VV49,,08/01/2023,12/31/2023,5470 CEDAR TER,APT 2F,LAKE ANGELVIEW,NY,10417,,N,7487282799,596010415
796815316,87444-2PR1ZB3OC92T,1024065001,SANTOS,D,VERONICA,female,1946-06-07,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,3TH5TF8KR50,,01/01/2023,04/30/2023,3640 PELHAM PL,,JAYPORT,NY,10027,,N,4389147267,568386547
409769828,98893-5Y49ZM4QL64T,1019952030,ZAKIR,,DANIELLE,female,1942-10-17,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,4C11TQ7JQ32,,01/01/2023,12/31/2023,2629 ELM ST,UNIT 1F,PHILLIPBURGH,NY,11353,,N,6583947195,824292717
409769828,98893-5Y49ZM4QL64T,1019952030,ZAKIR,,ANGELA,female,1942-02-27,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4C11TQ7JQ32,,01/01/2024,12/31/2024,7131 CEDAR PL,APT 6D,SOUTH SYDNEY,NY,11347,,N,6583947195,824292717
409769828,98893-5Y49ZM4QL64T,1019952030,ZAKIR,,GABRIELLE,female,1942-09-18,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4C11TQ7JQ32,,01/01/2025,12/31/2025,6256 MILL LN,UNIT 8D,NEW CHARLES,NY,11334,,N,6583947195,824292717
409769828,98893-5Y49ZM4QL64T,1019952030,ZAKIR,,MEGAN,female,1942-10-22,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4C11TQ7JQ32,,01/01/2026,12/31/2099,2222 ELM ST,UNIT 11F,SOUTH GREGORY,NY,11346,,N,6583947195,824292717
628293627,88997-6D97GI6JR50T,1022251698,EVANS,,KIMBERLY,male,1946-01-27,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,5H60DM4QY24,,01/01/2023,12/31/2023,650 LEXINGTON CT,STE 16E,EAST JOSE,NY,11637,,N,8893042648,798226054
628293627,88997-6D97GI6JR50T,1022251698,EVANS,,JEREMY,male,1946-08-24,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5H60DM4QY24,,01/01/2024,08/31/2024,3671 SUNSET TER,STE 18E,JACKSONTOWN,NY,11683,,N,8893042648,798226054
413131570,23668-9YU1PI2MZ44T,1024801286,HAYNES,,ANTONIO,female,1947-04-15,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,7CU7UM8ET38,,01/01/2023,05/31/2023,532 MAPLE DR,UNIT 19E,MICHELLESIDE,NY,10002,,N,2529610084,684633220
413131570,23668-9YU1PI2MZ44T,1024801286,HAYNES,,LESLIE,female,1947-09-03,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7CU7UM8ET38,,01/01/2024,07/31/2024,3005 MADISON LN,STE 16D,JUSTINFORT,NY,10039,,N,7696832140,684633220
413131570,23668-9YU1PI2MZ44T,1024801286,HAYNES,,JOSEPH,female,1947-06-19,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7CU7UM8ET38,,01/01/2025,12/31/2025,7562 MAIN RD,UNIT 19E,BROWNINGBERG,NY,10003,,N,2569949560,684633220
413131570,23668-9YU1PI2MZ44T,1024801286,HAYNES,,JASON,female,1947-02-11,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7CU7UM8ET38,,01/01/2026,12/31/2099,4703 FLATBUSH AVE,STE 17E,WEST ERIKA,NY,10075,,N,2569949560,684633220
413131570,23668-9YU1PI2MZ44T,1024801286,HAYNES,,SHERRI,female,1947-08-20,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7CU7UM8ET38,,08/01/2024,12/31/2024,4252 CHURCH BLVD,UNIT 20D,LAURENPORT,NY,10024,,N,2569949560,684633220
413131570,23668-9YU1PI2MZ44T,1024801286,HAYNES,,NANCY,female,1947-01-18,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,7CU7UM8ET38,,10/01/2023,12/31/2023,2434 HIGHLAND DR,STE 1F,LAKE KRISTINE,NY,10060,,N,7696832140,684633220
580973773,92287-7P31PQ0UZ73T,1026619773,ARORA,C,LEONARD,male,1946-10-10,UHC Dual Complete NY-Q001 (HMO-POS D-SNP),H6288,015,H9336-490,7T68UU6FT29,,09/01/2025,09/30/2025,300 PINE LN,,BAILEYFURT,NY,11304,,N,3149191566,246400516
840654019,12863-9RX3XP8NQ72T,1019953741,DAVILA,N,DIANA,male,1956-06-17,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,8VJ3GT9UK83,,01/01/2023,12/31/2023,5313 CHURCH PL,APT 15G,MICHEALSIDE,NY,11264,,N,1442703865,180713949
840654019,12863-9RX3XP8NQ72T,1019953741,DAVILA,D,RANDALL,male,1956-10-25,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8VJ3GT9UK83,,01/01/2024,12/31/2024,9143 PARK LN,UNIT 9B,HAMILTONSHIRE,NY,11297,,N,1442703865,180713949
840654019,12863-9RX3XP8NQ72T,1019953741,DAVILA,M,ROBIN,male,1956-12-21,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8VJ3GT9UK83,,01/01/2025,07/31/2025,7271 WASHINGTON TER,APT 2D,STEPHANIEBURY,NY,11239,,N,1442703865,180713949
824609955,11411-7WZ6GF0CU04T,1024065063,BREWSTER,M,STEPHEN,female,1968-07-06,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8AP7DJ0XP51,,01/01/2024,04/30/2024,3607 VALLEY CT,,NORTH WILLIAMMOUTH,NY,11587,,N,2076540914,462575974
824609955,11411-7WZ6GF0CU04T,1024065063,BREWSTER,J,JOSEPH,female,1968-07-27,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,8AP7DJ0XP51,,07/01/2023,12/31/2023,4384 PINE WAY,,NORTH ROBERTBURY,NY,11581,,N,2076540914,462575974
690914320,67028-9I79W15ZV67T,1019951449,JARRELL,B,JOHN,female,1975-09-07,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,5M96F64CM77,,01/01/2023,12/31/2023,123 MILL LN,STE 11D,KATRINAVILLE,NY,11261,,N,1455081726,467348246
690914320,67028-9I79W15ZV67T,1019951449,JARRELL,R,ANNA,female,1975-09-09,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5M96F64CM77,,01/01/2024,12/31/2024,5816 OAK BLVD,APT 3A,ELLIOTTVILLE,NY,11288,,N,1455081726,467348246
690914320,67028-9I79W15ZV67T,1019951449,JARRELL,W,JOSE,female,1975-09-17,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5M96F64CM77,,01/01/2025,12/31/2025,6444 PINE LN,UNIT 7A,LAKE MELISSA,NY,11238,,N,1455081726,467348246
690914320,67028-9I79W15ZV67T,1019951449,JARRELL,D,BRENDA,female,1975-08-14,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5M96F64CM77,,01/01/2026,12/31/2099,9616 VALLEY AVE,STE 3D,MARYFURT,NY,11281,,N,1455081726,467348246
464553476,25170-0DK2XW8LO95T,1024063959,POLANCO,,RACHAEL,female,1960-04-17,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,8HV9GA2NE30,,01/01/2023,05/31/2023,4356 FULTON DR,,BEVERLYFURT,NY,10439,,N,3641070314,568386547
