"LOB","EDW_MEMBER_CK","MEMBER_MEDICAID_ID","MEMBER_KEY","MEMBER_NAME","MEMBER_SEX","MEMBER_DOB","MEMBER_ADDRESS_1","MEMBER_ADDRESS_2","MEMBER_CITY","MEMBER_STATE","MEMBER_ZIP","MEMBER_COUNTY","MEMBER_REGION","MEMBER_PRIMARY_PHONE","MEMBER_HOME_PHONE","MEMBER_CELL_PHONE","MEMBER_LANGUAGE","MEMBER_ELIG_START_DT","MEMBER_ELIG_END_DT","MEMBER_ACTIVE_IND","PCP_IRS_NBR","PCP_IRS_NAME","PCP_NPI","PCP_PROV_KEY","PCP_FIRST_NAME","PCP_LAST_NAME","PCP_ADDRESS1","PCP_ADDRESS2","PCP_CITY","PCP_STATE","PCP_ZIP","PCP_PHONE","PCP_FAX"
"MEDICAID","1801602","473749860164","GA58300359239","JEREMY M ROBERTS","F","2003-08-07","6639 HIGHLAND ST","","STONEHAVEN","GA","30144","CARROLL","ATLANTA","4853908504","","","English","2025-10-01","9999-12-31","Y","267643495","ATLANTA HEALTHCARE GROUP","5846819184","GA104579-0029","ROBERT","RODRIGUEZ","2170 BROOK PL","Apt 252","SOUTH TIMOTHY","TX","75034","9795059118","4957874404"
"MEDICAID","8222604","798093301591","GA93882822059","CHRISTOPHER HALL","F","1991-04-19","5691 ELM AVE","","BAILEYBOROUGH","GA","30114","CARROLL","ATLANTA","2546633256","","","English","2026-01-14","9999-12-31","Y","435496197","BREMEN HEALTH PARTNERS","2223107046","GA594267-2914","MEREDITH","HENRY","2706 DOGWOOD TER","","THERESATOWN","GA","30179","3233133345","5279901654"
"MEDICAID","9037231","727565256788","GA83009960112","CRAIG RAMIREZ","F","1986-08-17","717 PINE AVE","","ELIZABETHSTAD","GA","30158","CARROLL","ATLANTA","5705075467","","","English","2025-12-01","9999-12-31","Y","422620132","BREMEN HEALTH PARTNERS","8938555377","GA150011-1886","LUCAS","PARSONS","8046 PINE PKWY","Ste 113","KELLYBURY","GA","30110","4535462587","3763739823"
"MEDICAID","2217516","914889973096","GA34166167105","CYNTHIA DIAZ","F","2000-06-12","2638 PARK RD","Ste 12","EAST DANA","GA","30115","CARROLL","ATLANTA","5519433466","","7709567167","English","2025-05-01","9999-12-31","Y","435496197","MARIETTA HEALTHCARE GROUP","9575762466","GAP66605937458-8687","DARRYL","OSBORNE","5430 WASHINGTON TER","Apt 151","CRAIGHAVEN","GA","30117","6754346547","2117917987"
"MEDICAID","9664781","455958007992","GA88998532218","MITCHELL CLARK","F","2003-10-18","3213 DOGWOOD PKWY","","GLASSTON","GA","30175","CARROLL","ATLANTA","6917747749","","","Unknown","2026-01-01","9999-12-31","Y","501272947","CARROLLTON HEALTH PARTNERS","8563720507","GA805558-0069","COURTNEY","GARCIA","8616 WASHINGTON PKWY","","WEST SHARON","GA","30108","7875379054","4662959638"
"MEDICAID","6923030","324855124135","GA73133793179","JOSEPH ZUNIGA","F","1985-03-26","4571 MAPLE PKWY","","NORTH JOSHUA","GA","30159","HARALSON","ATLANTA","2652626473","","","English","2025-02-01","9999-12-31","Y","501272947","CARROLLTON FAMILY MEDICINE","3010780209","GA568887-8580","MEGAN","GILMORE","8025 RIVER LN","","MARTINSHIRE","GA","30108","3585175719","6284417539"
"MEDICAID","3070597","896043531481","GA61843568673","DEBORAH LYNCH","F","2004-02-15","3056 LINCOLN ST","","JOELFURT","GA","30119","PAULDING","ATLANTA","","","","English","2025-11-01","2026-07-31","Y","570843777","BREMEN WELLNESS GROUP","3852928420","GAP42423966346-7891","RYAN","WILLIS","3698 BROOK RD","Ste 102","EAST KEVIN","GA","30132","9758174154","6604088178"
"MEDICAID","8499990","606402593715","GA86251929276","GEORGE DANIEL","F","1985-07-21","1941 MAGNOLIA WAY","","PORT ASHLEYSHIRE","GA","30195","CARROLL","ATLANTA","4586713672","","4107085631","English","2026-02-01","9999-12-31","Y","267643495","ROME HEALTHCARE GROUP","9752773948","GAP58441089774-4986","KRISTIE","ALVAREZ","858 MAPLE PKWY","Ste 371","ROBERTMOUTH","GA","30276","6675974117","6507874260"
"MEDICAID","1997323","660713516937","GA76042692040","FRANK GRAY","F","2002-07-28","835 RIVER TER","","DANIELLAND","GA","30142","CARROLL","ATLANTA","7626865542","","","English","2025-08-01","9999-12-31","Y","501272947","BOWDON FAMILY MEDICINE","3010780209","GA568887-8580","LAURA","PRATT","3055 FOREST PL","","WEST HEATHERBERG","GA","30108","2689394314","5584969918"
"MEDICAID","3173910","428697852854","GA74813922002","VERONICA BOWMAN","F","1999-02-19","8649 HILL ST","","MARYBURGH","GA","30108","HARALSON","ATLANTA","2566676203","","","English","2025-11-01","9999-12-31","Y","455326707","MARIETTA HEALTH PARTNERS","2584546397","GAP22977386255-9354","JESSICA","JOHNSON","4369 PIEDMONT TER","Apt 252","LAKE STEPHANIE","GA","30180","2792579882","7944541286"
"MEDICAID","2544792","727009392632","GA79133864249","ANGELA COHEN","F","2005-02-05","3928 LAKE BLVD","","PORT JESSICA","GA","30123","HARALSON","ATLANTA","2928285025","","","English","2026-03-01","9999-12-31","Y","546744816","TEMPLE SURGICAL SPECIALISTS","5026733333","GA460333-1116","DENISE","CARTER","592 MILL LN","","PORT BRIAN","GA","30157","5788536737",""
"MEDICAID","5316015","789587450648","GA37664972897","MEGAN PARSONS","F","1970-09-10","1647 MAGNOLIA PKWY","","NORTH KIMBERLYSHIRE","GA","30183","CARROLL","ATLANTA","8253265137","","","English","2024-05-18","9999-12-31","Y","501272947","VILLA RICA SURGICAL SPECIALISTS","8563720507","GA805558-0069","MADISON","THOMAS","6823 RIVER DR","","TONYTON","GA","30108","6412476101","7002191149"
"MEDICAID","2360662","962911775509","GA40991553256","JEREMY JOHNSON","F","1996-02-04","8278 FOREST ST","","PORT SARA","GA","30127","CARROLL","ATLANTA","5902074919","","","English","2024-07-01","9999-12-31","Y","444869769","ATLANTA MEDICAL ASSOCIATES","9921645959","GAP27570701172-4929","ROBERT","BERG","2337 PEACHTREE ST","","ASHLEYMOUTH","GA","30180","7967982394",""
"MEDICAID","5890040","888015918476","GA67802447149","LESLIE H ADAMS","F","1976-08-08","958 WASHINGTON BLVD","","ELIZABETHLAND","GA","30132","CARROLL","ATLANTA","6597593758","","","English","2025-04-19","9999-12-31","Y","237724831","ATLANTA HEALTH PARTNERS","1977572779","GA327256-1206","BRANDON","FREY","6740 SUNSET TER","","HOOPERSTAD","OK","73126","7056056675","8472005977"
"MEDICAID","1538173","243929274288","GA69611504824","JASON HAHN","F","1992-01-20","1024 MAGNOLIA DR","","JAMESVIEW","GA","30126","PAULDING","ATLANTA","7722314741","","","English","2024-07-01","9999-12-31","Y","723775285","ROME HEALTH SERVICES INC","6849768757","GAP90599685436-7239","KEVIN","GARZA","3713 ELM BLVD","Apt 31","MILLERVIEW","GA","30141","5038765947","8103193831"
"MEDICAID","1203052","669413129328","GA85560344015","NANCY EDWARDS","F","1985-09-11","1721 VALLEY CT","","NORTH CHERYL","GA","30197","CARROLL","ATLANTA","5216239572","","","English","2023-06-28","9999-12-31","Y","444869769","ATLANTA HEALTH SERVICES INC","9921645959","GAP27570701172-4929","JOSHUA","SMITH","4320 CHURCH DR","","EAST KIM","GA","30180","2706608718",""
"MEDICAID","9962305","193141327434","GA48555065278","DIANA FOSTER","F","1999-01-08","9024 RIDGE TER","","NORTH BARBARA","GA","30130","PAULDING","ATLANTA","8128232886","","","English","2026-03-01","9999-12-31","Y","801311022","MARIETTA WELLNESS GROUP","3495705181","GA223034-3591","SEAN","CASEY","8713 PINE CT","Unit 383","JONATHANPORT","GA","30144","6505789811","4723153529"
"MEDICAID","3498559","575513944500","GA85171476536","ROBIN ELLIS","F","2000-05-27","9903 OAK AVE","","MILLERSHIRE","GA","30141","CARROLL","ATLANTA","8922197096","","7032524879","English","2025-12-01","9999-12-31","Y","754779968","ATLANTA FAMILY MEDICINE","1157580472","GA245344-6109","TAMMY","CHEN","9973 OAK WAY","Unit 384","TUCKERSHIRE","GA","30265","3424372661","8537361776"
"MEDICAID","1517855","275091923757","GA54551963635","JOSEPH WRIGHT","F","1995-05-13","1466 HIGHLAND ST","Apt 295","DAVISVILLE","GA","30129","CARROLL","ATLANTA","7477068869","","","English","2026-01-01","9999-12-31","Y","635300635","ROME MEDICAL CENTER","5481288883","GAP92647036953-2759","SABRINA","DIXON","5183 PIEDMONT RD","Ste 490","PERKINSBOROUGH","GA","30117","6375409759","4777716394"
"MEDICAID","5372721","897653862389","GA61803530541","ANNA BAKER","F","1999-12-12","217 WASHINGTON RD","","SOUTH BRANDON","GA","30155","CARROLL","ATLANTA","6702008695","","","English","2025-11-20","2026-08-31","Y","348009137","MARIETTA FAMILY MEDICINE","5981774864","GA320726-0450","VIRGINIA","MARTIN","5524 BROOK DR","","WEST EMILY","TX","79902","6294768533","6797355033"
"MEDICAID","4573667","200852461229","GA72374382026","BRENDA HURST","F","1999-02-28","7780 ELM DR","","LAKE EDWARD","GA","30159","PAULDING","ATLANTA","5662302741","","","English","2024-01-02","9999-12-31","Y","554130963","BREMEN HEALTH SERVICES INC","6682813266","GAP35832287896-1721","JOSEPH","HILL","4318 DOGWOOD PL","Unit 358","PORT JUSTINBURY","GA","30135","2463838022","3256038553"
"MEDICAID","2832425","788669887242","GA83239513141","REGINALD M ROBINSON","F","1991-03-10","1753 PIEDMONT PKWY","","EAST DAVID","GA","30147","PAULDING","ATLANTA","3957894530","","","English","2025-08-01","9999-12-31","Y","570843777","VILLA RICA MEDICAL CENTER","6309254191","GAP52379330390-6423","MICHAEL","DAVIS","5388 HIGHLAND AVE","","SOSAMOUTH","GA","30106","2282868063","7868833221"
"MEDICAID","5248706","465055746263","GA62075208056","WHITNEY J HICKS","F","1990-02-18","8133 AZALEA AVE","Unit 177","ORTIZBERG","GA","30186","CARROLL","ATLANTA","8158423840","","","English","2026-03-01","9999-12-31","Y","267643495","ATLANTA CARE CLINIC","9752773948","GAP58441089774-4986","SHANNON","WILLIAMS","3560 CEDAR DR","Apt 170","NEW BRANDON","GA","30276","7602455126","3724521083"
"MEDICAID","6530424","971127636574","GA13087699180","CHRISTOPHER WILLIAMS","F","1998-10-08","9662 BROOK HWY","","NORTH CATHERINELAND","GA","30157","CARROLL","ATLANTA","5306038403","","","English","2026-02-05","9999-12-31","Y","891711931","ROME FAMILY HEALTHCARE CENTER","3938771215","GA992685-6425","MELANIE","MARTINEZ","7144 FOREST AVE","Apt 163","NORTH KATHLEEN","GA","30180","6864724260","9887106532"
"MEDICAID","1088730","113446441683","GA83626038628","DANIEL BURTON","F","1996-09-20","9090 HILL ST","","NORTH PATRICKVILLE","GA","30187","CARROLL","ATLANTA","8266895988","","","English","2025-12-03","2026-07-31","Y","267643495","BOWDON WELLNESS GROUP","8109411532","GAP54451049214-4395","SHIRLEY","OWEN","6830 PINE LN","","LAKE PETERHAVEN","GA","31830","6217965719","3566466581"
"MEDICAID","2004019","146083526872","GA99895689091","LAURA F HENDERSON","F","1997-09-10","1720 PEACHTREE WAY","","EAST BOBBY","GA","30161","CARROLL","ATLANTA","9918927462","","","English","2024-10-01","9999-12-31","Y","455326707","BOWDON FAMILY HEALTHCARE CENTER","9575762466","GAP16374918226-5803","BRIAN","VALDEZ","2985 LINCOLN ST","Unit 159","WESTVIEW","GA","30180","9115911988","7193383178"
"MEDICAID","5325851","361288049509","GA55658421210","BRYAN JAMES","F","2000-07-20","2550 PIEDMONT LN","","SOUTH DEREKMOUTH","GA","30163","CARROLL","ATLANTA","4502948851","","","English","2023-10-28","9999-12-31","Y","352577380","CARROLLTON HEALTHCARE GROUP","1450934426","GA725578-9811","TANYA","SHAH","9046 MAPLE TER","Unit 342","KIMBERLYMOUTH","TX","78753","5704947541","8717321731"
"MEDICAID","7619147","724079207384","GA48788414379","WENDY R RICE","F","1992-01-18","835 AZALEA PL","","RANDOLPHBOROUGH","GA","30156","CARROLL","ATLANTA","9966932098","","","English","2025-05-01","9999-12-31","Y","435496197","VILLA RICA HEALTH SERVICES INC","8973244078","GAP49262196203-5911","WENDY","WALKER","7556 WASHINGTON HWY","","BASSMOUTH","GA","30117","4345445484","6369235668"
"MEDICAID","1055468","265771305585","GA29233606648","TASHA VALENCIA","F","1974-12-04","4234 ELM TER","","NORTH KELLY","GA","30127","CARROLL","ATLANTA","7316123970","","","English","2025-11-01","9999-12-31","Y","435496197","VILLA RICA MEDICAL CENTER","9575762466","GAP66605937458-8687","KARA","SIMS","3152 MAGNOLIA HWY","Unit 419","EAST AARON","GA","30117","2875335011","9023641354"
"MEDICAID","4765884","630293011902","GA62709010138","ALEXANDER LE","F","2002-10-16","4668 PEACHTREE CT","","SOUTH OMAR","GA","30132","CARROLL","ATLANTA","6166168203","","","English","2026-01-29","2026-08-31","Y","455326707","VILLA RICA HEALTHCARE GROUP","5262178391","GAP17851757891-2271","HEIDI","DAVIS","4290 VALLEY RD","","NEW CHRISTOPHERVILLE","GA","30117","2465204122","5183965086"
"MEDICAID","7748390","384872612490","GA55639060039","ERIN HERRERA","F","2002-05-21","8584 SUNSET LN","","NEW ALEXANDER","GA","30192","CARROLL","ATLANTA","9529839642","","","English","2026-02-01","9999-12-31","Y","501272947","CARROLLTON FAMILY MEDICINE","8563720507","GA805558-0069","MICHAEL","SNYDER","5459 CEDAR ST","","WILLIAMSONVIEW","GA","30108","8727408050","6443543297"
"MEDICAID","1660971","730733178202","GA74477602379","JOSEPH DAVIDSON","F","1982-01-02","155 PEACHTREE AVE","","SOUTH DEBRA","GA","30116","CARROLL","ATLANTA","6212717615","","","English","2025-11-23","9999-12-31","Y","267643495","TEMPLE MEDICAL ASSOCIATES","9866380304","GAP30797714562-9972","SYDNEY","LOWE","4126 PARK BLVD","Ste 150","LAKE AMYBERG","GA","30276","4476918609","3044835709"
"MEDICAID","2316850","514964252133","GA75346907236","DANIEL GRAHAM","F","2005-06-14","1263 WASHINGTON CT","","KIMBERLYVILLE","GA","30149","CARROLL","ATLANTA","4384317427","","","Spanish","2025-12-01","9999-12-31","Y","422620132","ROME HEALTHCARE GROUP","8938555377","GA150011-1886","JONATHAN","CLARK","4592 CEDAR HWY","Apt 197","MULLINSFORT","GA","30110","3695834553","2386439450"
"MEDICAID","1770895","594611953813","GA30047130369","SHAWN MCKAY","F","1981-05-07","5583 LINCOLN LN","","PORT KRISTEN","GA","30198","HARALSON","ATLANTA","","","","English","2025-05-25","9999-12-31","Y","547681207","BREMEN CARE CLINIC","7001607881","GAP27072922328-1474","JULIAN","JOHNSON","973 PARK BLVD","","NEW JENNIFERMOUTH","GA","30110","9638083650","4305543053"
"MEDICAID","5698153","363918629355","GA18252084059","NANCY BAKER","F","2005-06-25","8686 PINE PKWY","","NORTH CHRISTOPHER","GA","30142","CARROLL","ATLANTA","4127462955","","","English","2026-03-01","2026-04-30","Y","546744816","MARIETTA HEALTHCARE GROUP","5026733333","GA460333-1116","DANIELLE","BENITEZ","6776 DOGWOOD CT","","LAKE DANIELBURY","GA","30157","9327782067",""
"MEDICAID","7822175","180445535920","GA60125276519","VINCENT B WHITE","F","1996-01-05","1956 MAIN CT","","PORT ANGELAFURT","GA","30168","CARROLL","ATLANTA","4472104242","","8582164483","English","2026-01-01","9999-12-31","Y","546744816","VILLA RICA MEDICAL GROUP OF","5026733333","GA460333-1116","KRISTEN","SOLOMON","3306 CHURCH HWY","","ADAMSTOWN","GA","30157","8865118126",""
"MEDICAID","8816871","155839625701","GA42868944068","RITA HARRELL","F","2005-04-18","2728 MILL PL","","WEST MICHELLE","GA","30161","CARROLL","ATLANTA","3459627718","","","English","2026-02-12","9999-12-31","Y","891711931","BOWDON HEALTH SERVICES INC","3938771215","GA992685-6425","HEATHER","FRANCO","8365 VALLEY ST","Unit 222","KARENLAND","GA","30180","8246359608","2092248571"
"MEDICAID","9683233","367998107939","GA25926085083","KENNETH FOWLER","F","1998-12-11","7269 CHURCH PKWY","","TINABERG","GA","30141","PAULDING","ATLANTA","3325109449","","","English","2025-12-06","9999-12-31","Y","402493526","BREMEN FAMILY HEALTHCARE CENTER","3466600533","GAP10813700991-8074","NATALIE","RODGERS","7399 PIEDMONT WAY","","NEW LINDASHIRE","GA","30101","5552793305","7585889475"
"MEDICAID","8524754","539520219179","GA41459565706","CHELSEA L HERNANDEZ","M","2006-11-02","57 LAKE BLVD","","NICHOLASTOWN","GA","30106","HARALSON","ATLANTA","6315101446","","","English","2025-11-22","9999-12-31","Y","810581053","TEMPLE SURGICAL SPECIALISTS","8744098529","GAP63192110036-4784","MALIK","KENNEDY","1863 LINCOLN AVE","","JENNIFERSIDE","GA","30113","6129928962","6949783944"
"MEDICAID","5362025","818550325016","GA80386209000","KATHRYN S RYAN","M","1988-04-16","7668 VALLEY ST","","LAKE MELANIE","GA","30126","PAULDING","ATLANTA","8244587592","","","English","2025-05-01","9999-12-31","Y","524108766","CARROLLTON MEDICAL ASSOCIATES","9591349504","GA102733-9085","LISA","JACKSON","8983 PIEDMONT CT","Ste 303","DIANEVILLE","TX","78405","4318021260",""
"MEDICAID","7030047","618851767254","GA37593990721","KIMBERLY MORENO","F","1999-02-26","3715 BROOK AVE","","JENNIFERLAND","GA","30185","CARROLL","ATLANTA","6065755535","","","English","2025-03-14","9999-12-31","Y","546744816","ATLANTA MEDICAL GROUP OF","5026733333","GA460333-1116","DAVID","MANN","6288 LINCOLN HWY","","SOUTH KEITHFURT","GA","30157","9477388053",""
"MEDICAID","6071015","514473222515","GA46046840181","AARON NGUYEN","F","1994-10-20","6808 ELM WAY","","PORT SARAHSHIRE","GA","30108","HARALSON","ATLANTA","7806988413","","","English","2026-01-01","9999-12-31","Y","810581053","BOWDON HEALTHCARE GROUP","1352178884","GAP71820258446-5535","PEDRO","FOWLER","9990 SUNSET RD","","WEST DAVIDMOUTH","GA","30113","8028675204","2374313744"
"MEDICAID","1792011","205046134259","GA55610450196","ANDREW HICKMAN","F","2002-12-27","451 MILL PKWY","","DAVIDSHIRE","GA","30101","PAULDING","ATLANTA","2319966124","","","English","2026-03-01","9999-12-31","Y","754779968","BOWDON PRIMARY CARE ASSOCIATES","2489525197","GAP27915394734-1274","CRYSTAL","JIMENEZ","686 MAIN BLVD","Ste 184","ANTHONYSTAD","GA","30141","8824359651","2974875090"
