AMISYS NUMBER,MEDICAID NUMBER,FIRST NAME,MIDDLE NAME,LAST NAME,MEMBER DOB,GENDER,MEMBER PHONE NUMBER,MEMBER ADDRESS LINE 1,MEMBER ADDRESS LINE 2,MEMBER CITY,MEMBER STATE,MEMBER ZIP,MPK NAME,ASSIGNED TIN NAME,ASSIGNED TIN,PCP FIRST NAME,PCP MIDDLE NAME,PCP LAST NAME,PCP NPI,PCP SPECIALTY,MEMBER MONTHS,LINE OF BUSINESS,PRODUCT,POPULATION HEALTH CATEGORY,PRIMARY RISK CATEGORY,RISK SCORE,TOTAL PCP CLAIMS,ALL ADMITS,ACUTE ADMITS,OP CLAIMS,ED VISITS,ED TO IP VISITS,SNF ADMITS,INNTWRK SPEC CLAIMS,OUTNTWRK SPEC CLAIMS,TOTAL BRAND RX COUNT,GENERIC RX COUNT,OTH CLAIMS,PREVENTABLE ADMITS,PREVENTABLE ED VISITS,MEMBER ELIG START MONTH,MEMBER MEDICAID START MONTH,MEMBER TYPE,EMAIL_ADDRESS
U3479888454,476846950,JEFFERY,,BENNETT,2016-10-01,M,242-212-3260,6828 ELM DR,,TANNERSIDE,IL,62845,JOLIET PHYSICIANS GROUP,CHICAGO MEDICAL ASSOCIATES,765625422,CLAYTON,J,CAMPBELL,5173246303,PEDIATRICS,2,MEDICAID,MEDICAID,HEALTHY,EYEEARNOSETHROAT,0.47265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202310,202310,,
U3984457371,337847843,WILLIAM,,WOODS,2011-09-07,F,588-201-9023,9036 MAIN ST,,ALYSSAPORT,IL,62849,AURORA MEDICAL GROUP,ROCKFORD MEDICAL ASSOCIATES,765625422,KENNETH,K,NICHOLS,5173246303,PEDIATRICS,2,MEDICAID,MEDICAID,HEALTHY,DEMOGRAPHICS,0.45349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202501,202501,,
U6369582744,273746058,ANTHONY,,MORGAN,2008-12-21,F,651-974-3705,6118 HILL DR,,LAKE CAITLINFURT,IL,62850,AURORA FAMILY HEALTHCARE CENTER,PEORIA MEDICAL ASSOCIATES,765625422,JONATHON,D,ANTHONY,5173246303,PEDIATRICS,2,MEDICAID,MEDICAID,OTHER MINOR CHRONIC-STABLE,ACUTE RESPIRATORY,0.63119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202310,202310,,
U1069935925,620022010,JAMES,,SULLIVAN,2004-12-18,F,269-463-4173,4227 BROOK RD,,ELLIOTTVILLE,IL,62917,CICERO MEDICAL CENTER,JOLIET FAMILY HEALTHCARE CENTER,773093742,WENDY,,SCHMIDT,8033009160,CLINIC,2,MEDICAID,MEDICAID EXPANSION,NOT YET CATEGORIZED,DEMOGRAPHICS,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,202512,202512,,uthompson@example.net
U2801925484,105897362,DEBRA,,DAWSON,2014-07-08,F,,3890 MILL BLVD,,LISALAND,IL,62922,CHICAGO WELLNESS GROUP,WAUKEGAN FAMILY MEDICINE,773093742,BROOKE,,DANIELS,2394826368,CLINIC,2,MEDICAID,MEDICAID,HEALTHY,DEMOGRAPHICS,0.45349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202509,202509,,
U8854227844,147896596,AMY,,PARKER,2018-08-19,M,843-841-5118,9134 CLARK PL,,NORTH WILLIAM,IL,62863,CICERO FAMILY HEALTHCARE CENTER,PEORIA INTEGRATED CARE,765625422,GERALD,M,MORA,5498422313,PEDIATRICS,2,MEDICAID,MEDICAID,HEALTHY,DEMOGRAPHICS,0.47265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202411,202411,,
U4012614915,707690849,JEFFREY,,SHANNON,2009-05-26,F,913-734-7313,2255 SUNSET TER,,VICTORIACHESTER,IL,61606,ROCKFORD COMMUNITY HEALTH CENTER,JOLIET PRIMARY CARE ASSOCIATES,369979721,MITCHELL,,SCOTT,1436168221,CLINIC,2,MEDICAID,SSI KIDS,HEALTHY-AT RISK,DEMOGRAPHICS,0.20368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202502,202502,,
U3349708614,248138927,BRIDGET,,DELACRUZ,2005-01-25,F,782-882-7269,9946 LAKE PL,,JOHNHAVEN,IL,62402,CICERO INTEGRATED CARE,ELGIN MEDICAL GROUP,765625422,REBECCA,,SAUNDERS,7286697325,CLINIC,2,MEDICAID,MEDICAID,CHRONIC BIG 5-AT RISK,HEPATOLOGY,1.48518,0,0,0,0,3,0,0,0,0,0,3,0,0,0,202507,202507,,
U3653402373,288231439,LISA,,HOLLAND,2000-03-23,F,551-421-9138,5996 RIVER LN,,CHRISTOPHERSHIRE,IL,60166,CHICAGO MEDICAL GROUP,CHICAGO MEDICAL ASSOCIATES,507138208,JUSTIN,,PATTON,6758221491,CLINIC,2,MEDICAID,MEDICAID EXPANSION,OTHER MINOR CHRONIC-AT RISK,MOOD DISORDER/DEPRESSION,1.12255,0,0,0,0,0,0,0,0,0,0,0,4,0,0,202503,202503,,jfarmer@example.net
U6190192397,670951042,ADAM,,CONLEY,2000-07-11,F,269-569-6840,5680 SUNSET ST,,BENJAMINFURT,IL,60421,ELGIN MEDICAL GROUP,CHICAGO SURGICAL SPECIALISTS,507138208,JASON,,SAUNDERS,7283328254,CLINIC,2,MEDICAID,MEDICAID EXPANSION,HEALTHY-AT RISK,DEMOGRAPHICS,0.26486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202107,202107,,
U9758500546,761264930,LINDA,,AUSTIN,2000-05-05,F,687-454-2825,5079 ELM LN,,KARENSTAD,IL,60480,NAPERVILLE CARE CLINIC,AURORA CARE CLINIC,897941701,SCOTT,,KEMP,6008458553,OB GYN,2,MEDICAID,MEDICAID EXPANSION,OTHER MAJOR CHRONIC-AT RISK,GYNECOLOGY,0.4759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202503,202503,,tonyalvarez@example.net
U4871744575,794991673,HELEN,,DUNCAN,2001-04-25,F,,8976 HALSTED CT,,LAKE JOHNNY,IL,61680,NAPERVILLE CARE CLINIC,SPRINGFIELD FAMILY MEDICINE,369979721,ERIC,,GARNER,1436168221,CLINIC,2,MEDICAID,MEDICAID EXPANSION,OTHER MAJOR CHRONIC-AT RISK,RHEUMATOLOGY,0.27558,0,0,0,0,0,0,0,1,0,0,0,0,0,0,202502,202502,,
U3079870351,494263063,MATTHEW,,HINES,2003-06-04,F,226-564-3973,9845 MADISON ST,,NORTH MARYSTAD,IL,61669,JOLIET CARE CLINIC,JOLIET PHYSICIANS GROUP,369979721,CAROL,,VAUGHAN,5081058407,PHYSICIAN S ASSISTANT,2,MEDICAID,MEDICAID EXPANSION,CHRONIC BIG 5-STABLE,EYEEARNOSETHROAT,0.58582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202505,202505,,
U9732289751,750171577,ERIC,,PEREZ,2003-02-13,M,204-773-4187,4585 CHURCH ST,,NEW SHAWN,IL,60688,JOLIET HEALTH PARTNERS,WAUKEGAN HEALTH PARTNERS,897941701,SAMANTHA,,COLLINS,2143428176,CLINIC,2,MEDICAID,MEDICAID EXPANSION,OTHER MINOR CHRONIC-STABLE,DEMOGRAPHICS,0.51777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202407,202407,,
U4118625894,105963515,SUSAN,,REILLY,2003-02-12,F,267-769-8424,6233 OAK WAY,,MARTINMOUTH,IL,62971,ELGIN MEDICAL GROUP,PEORIA CARE CLINIC,765625422,JEFFREY,,ROSS,4708239435,INTERNAL MEDICINE,2,MEDICAID,MEDICAID,BEHAVIORAL HEALTH ONLY-AT RISK,GYNECOLOGY,0.78796,0,0,0,0,0,0,0,1,0,0,1,0,0,0,202507,202507,,andrea69@example.net
U3801235519,784019354,MATTHEW,,HOLLAND,2003-06-20,F,427-231-6920,7671 WACKER TER,,FLOYDMOUTH,IL,61557,PEORIA SURGICAL SPECIALISTS,NAPERVILLE SURGICAL SPECIALISTS,741306290,ANDREW,,BARNES,3902472292,CLINIC,2,MEDICAID,MEDICAID EXPANSION,NOT YET CATEGORIZED,NOT ASSIGNED,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,202601,202601,,amy54@example.net
U2664991042,215718474,CHRISTOPHER,,DAVIDSON,2003-05-26,F,252-687-4433,2936 HIGHLAND RD,,EAST REGINAMOUTH,IL,62824,CICERO HEALTH PARTNERS,SPRINGFIELD MEDICAL CENTER,765625422,DEBRA,,LEE,6530962480,NURSE PRACTITIONERS,2,MEDICAID,MEDICAID,NOT YET CATEGORIZED,NOT ASSIGNED,1.47527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202601,202601,,
U7199312888,316571680,COLIN,,MARTINEZ,2003-01-24,F,438-678-8361,9903 STATE DR,,LAKE LISA,IL,61667,PEORIA COMMUNITY HEALTH CENTER,ROCKFORD FAMILY MEDICINE,369979721,BARBARA,,CHAN,5923895188,CLINIC,2,MEDICAID,MEDICAID EXPANSION,OTHER MINOR CHRONIC-STABLE,INFECTIOUSDISEASE,0.27558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202505,202505,,
U9207794412,567114564,MELANIE,,RUIZ,2004-08-18,F,433-307-3132,9988 CEDAR DR,,PORT JACK,IL,62961,ROCKFORD HEALTH PARTNERS,ELGIN SURGICAL SPECIALISTS,765625422,RICHARD,R,ELLIOTT,1881690910,FAMILY PRACTICE,2,MEDICAID,SSI NON - DUAL,OTHER MAJOR CHRONIC-AT RISK,ORTHOPEDICS,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,202510,202510,,
U6685761862,648604552,CASSANDRA,,LIN,2004-02-13,M,826-687-4158,1425 MILL BLVD,,JACKSONVIEW,IL,62361,PEORIA FAMILY HEALTHCARE CENTER,WAUKEGAN WELLNESS GROUP,238214761,NATHANIEL,,MOSES,6553116105,CLINIC,2,MEDICAID,MEDICAID EXPANSION,HEALTHY,UROLOGY,0.12955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202410,202410,,
U1077081387,200323197,LINDSAY,,WOODWARD,2004-02-18,M,481-287-6101,119 SUNSET TER,,ERICASHIRE,IL,61620,AURORA INTEGRATED CARE,ELGIN HEALTH SERVICES,369979721,DANIEL,,SANCHEZ,5923895188,CLINIC,2,MEDICAID,SSI NON - DUAL,BEHAVIORAL HEALTH ONLY-STABLE,MOOD DISORDER/BIPOLAR,0.31151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,202507,202507,,
U4201947592,866678886,JESSICA,,SIMS,2005-05-27,F,729-548-1846,849 RIVER WAY,,SARAHTOWN,IL,62634,AURORA MEDICAL GROUP,ELGIN FAMILY MEDICINE,369979721,BRIAN,M,BURNS,5946194579,OB GYN,2,MEDICAID,MEDICAID,OTHER MINOR CHRONIC-AT RISK,DERMATOLOGY,1.38201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202505,202505,,monicagarcia@example.org
U8956496723,963179311,AMANDA,,LE,2005-11-20,F,985-363-8436,8933 CLARK RD,,LAKE ALEXANDER,IL,61647,CHICAGO FAMILY MEDICINE,AURORA MEDICAL ASSOCIATES,369979721,DANIEL,,WISE,5923895188,CLINIC,2,MEDICAID,MEDICAID,OTHER MINOR CHRONIC-AT RISK,GASTROINTESTINAL,0.27558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202407,202407,,
U8010265011,767566781,TERESA,,BRADLEY,2005-06-19,M,885-582-1439,728 MADISON PL,,AMYMOUTH,IL,61696,CHICAGO FAMILY HEALTHCARE CENTER,NAPERVILLE PHYSICIANS GROUP,369979721,TIFFANY,,GLOVER,1436168221,CLINIC,2,MEDICAID,SSI KIDS,OTHER MINOR CHRONIC-AT RISK,PSYCHOTIC & SCHIZOPHRENIC DISO,0.78612,0,0,0,1,0,0,0,0,0,0,0,0,0,0,202508,202508,,
U9567327496,862263375,NICHOLAS,,SMITH,2005-04-23,M,738-352-7749,9454 RIVER ST,,KIMBERLYFORT,IL,61677,SPRINGFIELD FAMILY MEDICINE,AURORA MEDICAL CENTER,369979721,HEATHER,,THOMAS,2555420584,CLINIC,2,MEDICAID,SSI KIDS,HEALTHY,DEMOGRAPHICS,0.0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202410,202410,,
U1535177421,257159786,ANDREA,,JONES,2006-02-02,F,757-933-1303,4227 WASHINGTON RD,,HERNANDEZFURT,IL,62245,SPRINGFIELD HEALTHCARE GROUP,ROCKFORD PRIMARY CARE ASSOCIATES,765625422,WILLIAM,B,BAKER,1881690910,FAMILY PRACTICE,2,MEDICAID,MEDICAID EXPANSION,HEALTHY,DEMOGRAPHICS,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,202510,202510,,
U6787239402,464927651,MARIA,,HALE,2004-11-08,F,200-822-1963,8096 HIGHLAND CT,,ESTRADAHAVEN,IL,62826,AURORA PRIMARY CARE ASSOCIATES,CHICAGO HEALTH SERVICES,773093742,MEGAN,,MURRAY,6098958192,CLINIC,2,MEDICAID,MEDICAID EXPANSION,NOT YET CATEGORIZED,INFECTIOUSDISEASE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,202512,202512,,
U3069240419,978707209,CHRISTINE,,WEBB,2006-05-03,F,683-354-3831,7947 RIDGE CT,,NEW ALEX,IL,61057,ELGIN SURGICAL SPECIALISTS,ELGIN FAMILY HEALTHCARE CENTER,744531019,CHERYL,,HARRIS,9352109161,FAMILY PRACTICE,2,MEDICAID,SSI KIDS,NOT YET CATEGORIZED,NOT ASSIGNED,0.42226,0,0,0,1,1,0,0,0,1,0,0,0,0,0,202601,202601,,
U2181526666,725585242,MICHELLE,,WOODS,2006-04-28,F,228-774-8824,8449 CEDAR WAY,,FLORESLAND,IL,62877,WAUKEGAN HEALTH PARTNERS,SPRINGFIELD CARE CLINIC,765625422,KATHERINE,W,MASON,4942666363,NURSE PRACTITIONERS,2,MEDICAID,MEDICAID EXPANSION,HEALTHY-AT RISK,OBSTETRICS - PREGNANCY,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,202511,202511,,cheryl90@example.org
U8487891437,315576775,BARBARA,D,ANDERSON,2008-02-13,M,287-360-2986,8359 HILL BLVD,,HARRISTOWN,IL,61501,CICERO PRIMARY CARE ASSOCIATES,CHICAGO MEDICAL ASSOCIATES,369979721,DONNA,B,HORN,2069220969,NURSE PRACTITIONERS,2,MEDICAID,MEDICAID,OTHER MINOR CHRONIC-STABLE,EYEEARNOSETHROAT,2.03449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202505,202505,,
U7451182806,884265169,JANET,,KOCH,2002-05-15,M,734-798-5575,4846 SUNSET PL,,SIMMONSFURT,IL,62567,PEORIA INTEGRATED CARE,JOLIET WELLNESS GROUP,795664483,ANGELA,,MARTINEZ,4537433900,CLINIC,2,MEDICAID,SSI NON - DUAL,HEALTHY,INFECTIOUSDISEASE,0.0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202509,202509,,
U9589165555,260586523,BRANDON,,SULLIVAN,2008-11-27,F,555-384-5019,3183 MAPLE RD,,HOWELLPORT,IL,60454,ELGIN CARE CLINIC,JOLIET SURGICAL SPECIALISTS,507138208,CHRISTINA,D,SANCHEZ,5021785424,PEDIATRICS,2,MEDICAID,MEDICAID,HEALTHY,ACUTE RESPIRATORY,1.1492,0,0,0,0,0,0,0,0,0,0,1,0,0,0,202412,202412,,
U5957500312,347485618,JEREMY,,NEAL,2009-06-06,F,810-858-6297,575 RIDGE AVE,,NEW HEATHERTON,IL,62912,CHICAGO INTEGRATED CARE,WAUKEGAN MEDICAL CENTER,773093742,STACY,R,JONES,9653617583,FAMILY PRACTICE,2,MEDICAID,MEDICAID,OTHER MINOR CHRONIC-STABLE,DEMOGRAPHICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202512,202512,,
U5756355181,197411914,KEITH,,NOVAK,2009-06-12,M,783-623-1619,7245 ELM RD,,CLARKBERG,IL,61805,WAUKEGAN MEDICAL GROUP,ROCKFORD MEDICAL GROUP,795664483,DEBRA,,WARD,7589981195,CLINIC,2,MEDICAID,MEDICAID,BEHAVIORAL HEALTH ONLY-AT RISK,OTHER MENTAL HEALTH,0.46741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202511,202511,,wjones@example.org
U7849353520,875950971,CHRISTOPHER,,WHITAKER,2010-04-22,M,334-440-4435,7914 PINE CT,,NEW SYDNEY,IL,62844,ELGIN PRIMARY CARE ASSOCIATES,ROCKFORD WELLNESS GROUP,765625422,GLORIA,C,VARGAS,2584902642,NURSE PRACTITIONERS,2,MEDICAID,MEDICAID,HEALTHY,PULMONOLOGY,0.46741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202507,202507,,
U7842419042,622799249,JESSE,,MARTINEZ,2010-05-23,M,277-535-9455,565 LINCOLN TER,,SOUTH PETERSIDE,IL,60406,CICERO FAMILY HEALTHCARE CENTER,ROCKFORD SURGICAL SPECIALISTS,507138208,APRIL,,GOMEZ,7283328254,CLINIC,2,MEDICAID,MEDICAID,HEALTHY,EYEEARNOSETHROAT,0.46741,1,0,0,2,0,0,0,0,0,0,0,0,0,0,202411,202411,,
U7372757163,255225937,CRAIG,,GREEN,2011-11-21,M,938-675-6747,3245 RIDGE LN,,EAST RICARDOPORT,IL,61531,ELGIN MEDICAL ASSOCIATES,AURORA PHYSICIANS GROUP,369979721,ROBERT,,WILSON,1436168221,CLINIC,2,MEDICAID,MEDICAID,BEHAVIORAL HEALTH ONLY-AT RISK,NEUROLOGY,1.75058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202505,202505,,pricejohn@example.com
U4983515556,505884332,JOSHUA,,MOORE,2010-02-20,F,317-671-6910,4353 MICHIGAN TER,,KEVINTOWN,IL,62993,SPRINGFIELD FAMILY HEALTHCARE CENTER,WAUKEGAN FAMILY HEALTHCARE CENTER,765625422,JIMMY,,GREEN,8012757818,CLINIC,2,MEDICAID,MEDICAID,OTHER MINOR CHRONIC-AT RISK,ANXIETY/PSYCHOSEXUAL DISORDERS,2.14166,2,0,0,0,0,0,0,0,0,0,1,5,0,0,202412,202412,,nicholas06@example.org
U5532044882,727485279,CYNTHIA,,JOHNSON,2012-11-06,F,656-835-1484,9114 MICHIGAN DR,,NEW CHRISTOPHER,IL,60431,CHICAGO PHYSICIANS GROUP,ELGIN MEDICAL ASSOCIATES,507138208,CATHERINE,S,GONZALEZ,5021785424,PEDIATRICS,2,MEDICAID,MEDICAID,HEALTHY-AT RISK,DERMATOLOGY,0.45349,0,0,0,1,0,0,0,0,0,1,1,0,0,0,202407,202407,,
U9905710281,267534617,MICHAEL,,GUTIERREZ,2011-09-24,M,402-371-4221,5256 WASHINGTON DR,,PATRICKTOWN,IL,62999,CHICAGO HEALTHCARE GROUP,PEORIA HEALTH SERVICES,765625422,VINCENT,T,ATKINSON,2584902642,NURSE PRACTITIONERS,2,MEDICAID,MEDICAID,BEHAVIORAL HEALTH ONLY-STABLE,ANXIETY/PSYCHOSEXUAL DISORDERS,0.47265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202311,202311,,
U9311213084,532452643,MITCHELL,,GREENE,2005-04-06,F,214-764-9614,6691 CEDAR BLVD,,JULIEVIEW,IL,61379,AURORA MEDICAL ASSOCIATES,AURORA MEDICAL ASSOCIATES,741306290,DAVID,R,DONALDSON,5667765131,NURSE PRACTITIONERS,2,MEDICAID,MEDICAID EXPANSION,CHRONIC BIG 5-AT RISK,DIABETES,3.5987,0,0,0,1,0,0,0,1,0,4,0,0,0,0,202501,202501,,johnlarson@example.net
U7056683940,499542295,JASON,,BROWN,2012-08-13,M,751-258-8109,7046 LAKE CT,,CHADVIEW,IL,60617,ELGIN HEALTHCARE GROUP,ROCKFORD CARE CLINIC,285045219,THOMAS,,WILLIAMS,6121779616,FAMILY PRACTICE,2,MEDICAID,MEDICAID,OTHER MINOR CHRONIC-AT RISK,NEUROLOGY,1.75058,0,0,0,1,0,0,0,0,0,1,1,0,0,0,202412,202412,,wrightnicole@example.com
U6004306035,795965175,JOSEPH,,HODGES,2012-05-21,F,203-819-5636,5314 OAK WAY,,PORT DAVID,IL,60445,CICERO PRIMARY CARE ASSOCIATES,AURORA PHYSICIANS GROUP,507138208,TODD,,WEST,5072053197,CLINIC,2,MEDICAID,MEDICAID,HEALTHY-AT RISK,DEMOGRAPHICS,0.45349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202601,202601,,dana24@example.net
U3532838212,464393118,SHARON,,ROBBINS,2014-12-18,M,268-676-6508,3237 CLARK CT,,PORT MARK,IL,62996,CHICAGO HEALTH SERVICES,CICERO MEDICAL GROUP,765625422,AMY,H,KAISER,2584902642,NURSE PRACTITIONERS,2,MEDICAID,MEDICAID,BEHAVIORAL HEALTH ONLY-STABLE,NEUROLOGY,0.68921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202311,202311,,
U1863671943,480091833,DEBORAH,,ADAMS,2005-04-22,F,212-373-5582,3545 HALSTED BLVD,,JOHNSONBERG,IL,62928,CICERO MEDICAL ASSOCIATES,PEORIA INTEGRATED CARE,773093742,SUSAN,,LEWIS,1959417054,CLINIC,2,MEDICAID,SSI KIDS,HIGH RISK,CARDIOLOGY,0.8311,1,0,0,0,0,0,0,0,0,1,2,0,0,0,202508,202508,,
U8052764837,291976788,CHELSEA,,GREER,2014-06-27,F,324-426-1393,5623 PARK RD,,PORT BRITTNEY,IL,61814,ROCKFORD MEDICAL CENTER,NAPERVILLE COMMUNITY HEALTH CENTER,795664483,KELLY,,FERGUSON,5692280282,CLINIC,2,MEDICAID,MEDICAID,HEALTHY,EYEEARNOSETHROAT,0.45349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202509,202509,,
U8756759283,791238810,GEORGE,,VILLEGAS,2015-01-08,M,248-654-9408,9420 OAK RD,,RAVENLAND,IL,61690,WAUKEGAN MEDICAL GROUP,SPRINGFIELD HEALTH SERVICES,369979721,KRISTIN,,SALAZAR,1436168221,CLINIC,2,MEDICAID,MEDICAID,RARE HIGH COST COND-STABLE,INFLAMMATORY BOWEL DISEASE,6.37353,0,0,0,0,0,0,0,0,0,0,1,0,0,0,202502,202502,,
